date,time,previous_app,instagram_notification,instagram_opens_30min,instagram_opens_2hr,previous_instagram_duration,current_session_duration,reason,intentional,wanted_to_stop
2026-07-25,16:24,Facebook,no,0,0,0,45,boredom,no,no
2026-07-25,17:49,WhatsApp,no,0,1,45,1,specific purpose,yes,no
2026-07-25,17:29,Facebook,yes,1,1,1,7,notification,yes,no
2026-07-25,18:38,Settings,yes,0,3,7,1,notification,no,no
2026-07-25,19:35,WhatsApp,no,0,3,1,21,procrastination,no,yes
2026-07-25,21:49,Settings,no,0,1,21,33,procrastination,no,yes
2026-07-25,23:18,Messages,yes,0,1,33,7,notification,yes,no
2026-07-26,09:37,Chrome,no,0,0,0,8,specific purpose,yes,no
2026-07-26,12:24,Messages,no,0,0,8,44,boredom,no,yes
2026-07-26,15:47,Facebook,no,0,0,44,4,habit,no,no
2026-07-26,15:24,Camera,yes,1,0,4,1,procrastination,yes,no
2026-07-26,15:42,Camera,yes,1,0,1,4,notification,yes,yes
2026-07-26,17:24,Settings,yes,0,3,4,15,notification,no,no
2026-07-26,21:53,Chrome,yes,0,0,15,58,notification,no,yes
2026-07-27,11:01,Facebook,no,0,0,0,3,notification,yes,no
2026-07-27,18:49,YouTube,no,0,0,3,17,procrastination,no,yes
2026-07-27,19:37,Spotify,yes,0,1,17,3,notification,no,yes
2026-07-27,19:44,Facebook,no,1,1,3,9,boredom,yes,no
2026-07-27,22:38,Chrome,no,0,0,9,9,boredom,no,no
2026-07-28,10:51,Settings,no,0,0,0,9,habit,yes,no
2026-07-28,13:20,YouTube,no,0,0,9,22,boredom,no,no
2026-07-28,15:21,Messages,yes,0,1,22,1,notification,yes,no
2026-07-28,18:21,Spotify,yes,0,0,1,7,notification,yes,no
2026-07-28,18:35,Settings,no,1,0,7,32,habit,no,no
2026-07-28,19:05,Camera,yes,1,2,32,2,notification,yes,no
2026-07-28,20:27,Messages,no,0,3,2,13,boredom,no,no
2026-07-28,20:14,Facebook,yes,1,3,13,8,notification,yes,no
2026-07-28,22:37,Spotify,no,0,2,8,12,other,yes,no
2026-07-28,22:23,Chrome,yes,1,2,12,11,boredom,yes,no
2026-07-29,07:21,Chrome,yes,0,0,0,5,notification,yes,no
2026-07-29,10:25,Chrome,no,0,0,5,7,boredom,yes,no
2026-07-29,13:35,Facebook,no,0,0,7,20,procrastination,no,no
2026-07-29,16:19,Camera,no,0,0,20,2,boredom,no,no
2026-07-29,18:13,Spotify,no,0,1,2,6,procrastination,no,no
2026-07-29,19:04,Camera,yes,0,1,6,5,notification,yes,no
2026-07-30,09:09,WhatsApp,yes,0,0,0,8,specific purpose,yes,no
2026-07-30,10:36,Settings,no,0,1,8,10,notification,no,no
2026-07-30,10:31,Chrome,no,1,1,10,1,specific purpose,yes,no
2026-07-30,11:38,YouTube,yes,0,3,1,11,notification,yes,no
2026-07-30,12:02,WhatsApp,no,1,3,11,21,habit,no,no
2026-07-30,12:11,Camera,no,1,3,21,33,habit,no,yes
2026-07-30,13:42,WhatsApp,yes,0,3,33,29,notification,no,no
2026-07-30,13:25,Chrome,no,1,3,29,4,habit,no,no
2026-07-30,17:32,Chrome,no,0,0,4,57,procrastination,no,yes
2026-07-30,19:12,Settings,no,0,1,57,7,procrastination,yes,no
2026-07-30,20:28,Settings,no,0,1,7,10,notification,yes,no
2026-07-31,09:31,Spotify,no,0,0,0,43,habit,no,yes
2026-07-31,10:35,Facebook,yes,0,1,43,1,specific purpose,yes,no
2026-07-31,16:08,Spotify,no,0,0,1,2,procrastination,yes,no
2026-07-31,17:00,Spotify,yes,0,1,2,11,specific purpose,yes,no
2026-07-31,17:31,Settings,no,0,1,11,4,habit,no,no
2026-07-31,20:20,Facebook,no,0,0,4,15,habit,no,no
2026-07-31,21:02,Settings,yes,0,1,15,2,procrastination,yes,no
2026-07-31,23:31,WhatsApp,no,0,1,2,1,habit,no,no
2026-08-01,07:05,Camera,no,0,0,0,24,other,no,yes
2026-08-01,09:40,Spotify,no,0,1,24,5,other,yes,no
2026-08-01,09:06,YouTube,no,1,1,5,25,habit,no,no
2026-08-01,10:18,Camera,no,0,2,25,19,boredom,no,yes
2026-08-01,13:50,WhatsApp,yes,0,0,19,1,notification,yes,no
2026-08-01,15:40,Spotify,yes,0,1,1,22,notification,no,no
2026-08-01,17:43,YouTube,no,0,1,22,3,habit,no,no
2026-08-01,19:16,Spotify,no,0,1,3,10,boredom,no,no
2026-08-01,21:15,Messages,no,0,1,10,2,habit,yes,no
2026-08-01,21:17,Chrome,yes,1,1,2,16,other,yes,no
2026-08-01,23:18,Facebook,no,0,2,16,8,procrastination,no,no
2026-08-02,08:56,Spotify,no,0,0,0,1,specific purpose,yes,no
2026-08-02,08:52,Spotify,no,1,0,1,50,procrastination,no,yes
2026-08-02,09:14,Camera,no,1,2,50,47,other,no,yes
2026-08-02,10:25,YouTube,yes,0,3,47,1,notification,no,no
2026-08-02,10:06,Settings,no,1,3,1,7,notification,no,no
2026-08-02,12:14,Settings,no,0,2,7,4,specific purpose,yes,yes
2026-08-02,14:02,Settings,yes,0,1,4,9,notification,yes,no
2026-08-02,14:24,Camera,no,1,1,9,38,habit,no,no
2026-08-02,15:39,Spotify,no,0,2,38,7,notification,no,no
2026-08-02,17:28,Messages,no,0,1,7,1,notification,no,no
2026-08-02,18:25,YouTube,yes,0,1,1,2,procrastination,yes,no
2026-08-02,19:40,Chrome,no,0,2,2,22,notification,no,yes
2026-08-02,19:04,Facebook,no,1,2,22,8,habit,yes,no
2026-08-02,21:49,Chrome,yes,0,2,8,1,notification,yes,yes
2026-08-03,10:01,Chrome,yes,0,0,0,4,notification,yes,yes
2026-08-03,14:04,Messages,no,0,0,4,1,habit,no,yes
2026-08-03,17:50,Spotify,no,0,0,1,5,habit,yes,yes
2026-08-03,19:30,Camera,no,0,1,5,26,procrastination,no,yes
2026-08-04,10:56,Facebook,no,0,0,0,5,habit,yes,no
2026-08-04,10:52,Camera,no,1,0,5,17,procrastination,no,no
2026-08-04,10:43,YouTube,no,1,0,17,32,boredom,no,yes
2026-08-04,13:47,WhatsApp,no,0,0,32,9,habit,no,yes
2026-08-04,15:22,Camera,no,0,1,9,4,specific purpose,yes,no
2026-08-04,15:18,Messages,no,1,1,4,31,boredom,no,no
2026-08-04,16:22,Messages,no,0,2,31,36,notification,no,yes
2026-08-04,17:51,Chrome,no,0,3,36,20,procrastination,no,yes
2026-08-04,17:48,Messages,yes,1,3,20,5,notification,yes,yes
2026-08-04,17:42,WhatsApp,no,1,3,5,10,procrastination,yes,no
2026-08-04,18:29,Messages,yes,0,4,10,8,notification,yes,no
2026-08-04,18:38,Chrome,yes,1,4,8,4,notification,yes,no
2026-08-04,19:31,Camera,no,0,5,4,3,boredom,yes,yes
2026-08-05,08:49,Spotify,yes,0,0,0,1,notification,yes,yes
2026-08-05,10:34,Messages,no,0,1,1,6,notification,yes,no
2026-08-05,12:29,Messages,no,0,1,6,18,habit,no,yes
2026-08-05,12:01,WhatsApp,no,1,1,18,6,procrastination,no,no
2026-08-05,14:58,Camera,no,0,2,6,6,specific purpose,yes,no
2026-08-05,16:25,Messages,no,0,1,6,11,boredom,yes,yes
2026-08-05,17:40,Facebook,yes,0,1,11,11,habit,yes,yes
2026-08-05,18:06,Facebook,yes,1,2,11,4,notification,yes,no
2026-08-05,22:04,Settings,yes,0,0,4,1,notification,yes,no
2026-08-05,23:41,Messages,no,0,1,1,3,specific purpose,yes,no
2026-08-06,14:04,Settings,yes,0,0,0,4,notification,yes,no
2026-08-06,15:05,Camera,no,0,1,4,42,habit,no,no
2026-08-06,16:57,Facebook,yes,0,2,42,6,notification,yes,yes
2026-08-06,17:57,YouTube,no,0,2,6,26,habit,no,yes
2026-08-06,17:28,WhatsApp,no,1,2,26,1,habit,yes,no
2026-08-06,19:03,Messages,no,0,2,1,10,notification,yes,no
2026-08-07,10:44,WhatsApp,no,0,0,0,4,habit,yes,no
2026-08-07,13:52,YouTube,yes,0,0,4,9,notification,yes,no
2026-08-07,14:23,Facebook,yes,0,1,9,6,notification,yes,yes
2026-08-07,14:54,Chrome,no,0,1,6,8,procrastination,yes,no
2026-08-07,17:38,WhatsApp,no,0,0,8,1,boredom,no,no
2026-08-07,18:02,Facebook,no,1,1,1,1,other,no,no
2026-08-07,19:50,Facebook,no,0,2,1,1,boredom,yes,no
2026-08-07,21:36,Settings,no,0,1,1,7,procrastination,yes,no
2026-08-07,21:26,Facebook,no,1,1,7,21,procrastination,no,no
2026-08-07,23:35,YouTube,no,0,2,21,11,boredom,yes,no
2026-08-08,08:01,YouTube,yes,0,0,0,6,other,yes,no
2026-08-08,08:30,WhatsApp,no,1,0,6,25,procrastination,no,yes
2026-08-08,10:57,Spotify,yes,0,2,25,11,notification,yes,no
2026-08-08,12:49,Spotify,yes,0,1,11,3,notification,yes,no
2026-08-08,12:39,YouTube,no,1,1,3,1,procrastination,no,no
2026-08-08,14:45,Camera,yes,0,2,1,4,notification,yes,no
2026-08-08,15:11,YouTube,no,1,1,4,40,habit,no,no
2026-08-08,15:32,Camera,no,1,1,40,4,specific purpose,yes,yes
2026-08-08,16:24,Spotify,no,0,3,4,32,procrastination,no,no
2026-08-08,16:06,Messages,no,1,3,32,26,boredom,no,yes
2026-08-08,22:41,Settings,yes,0,0,26,12,procrastination,yes,no
2026-08-08,23:18,Facebook,yes,0,1,12,32,habit,no,no
2026-08-09,08:24,WhatsApp,yes,0,0,0,10,notification,yes,no
2026-08-09,08:46,Camera,no,1,0,10,3,procrastination,yes,no
2026-08-09,13:20,Messages,yes,0,0,3,2,notification,yes,no
2026-08-09,13:22,Messages,no,1,0,2,12,habit,no,no
2026-08-09,15:50,YouTube,no,0,2,12,1,procrastination,no,no
2026-08-09,15:01,Settings,yes,1,2,1,5,notification,yes,no
2026-08-09,15:23,Chrome,no,1,2,5,35,procrastination,no,no
2026-08-09,16:36,Messages,yes,0,3,35,4,notification,yes,no
2026-08-09,18:01,Settings,no,0,1,4,11,habit,yes,no
2026-08-09,18:13,Spotify,no,1,1,11,10,procrastination,yes,no
2026-08-09,19:08,Settings,no,0,2,10,49,boredom,no,no
2026-08-09,20:20,YouTube,no,0,3,49,21,habit,no,yes
2026-08-10,10:12,Facebook,no,0,0,0,8,procrastination,no,no
2026-08-10,16:35,YouTube,yes,0,0,8,4,notification,yes,no
2026-08-10,18:30,Camera,no,0,1,4,15,specific purpose,yes,no
2026-08-10,18:28,Messages,no,1,1,15,10,boredom,yes,no
2026-08-10,19:37,WhatsApp,yes,0,2,10,8,notification,yes,no
2026-08-10,22:10,Facebook,yes,0,0,8,6,notification,no,no
2026-08-11,09:37,Messages,yes,0,0,0,13,specific purpose,yes,yes
2026-08-11,11:41,Spotify,no,0,1,13,8,procrastination,yes,no
2026-08-11,13:40,Spotify,yes,0,1,8,6,notification,yes,no
2026-08-11,17:29,Chrome,yes,0,0,6,13,notification,yes,no
2026-08-11,17:21,Messages,no,1,0,13,1,specific purpose,yes,no
2026-08-11,17:25,Messages,yes,1,0,1,16,notification,yes,no
2026-08-11,18:07,Facebook,yes,0,3,16,13,notification,yes,no
2026-08-11,22:55,Messages,no,0,0,13,11,other,no,no
2026-08-12,08:32,Facebook,no,0,0,0,38,boredom,no,no
2026-08-12,14:41,Spotify,no,0,0,38,7,habit,yes,no
2026-08-12,16:56,Messages,yes,0,1,7,10,habit,yes,no
2026-08-12,16:18,Settings,yes,1,1,10,28,habit,no,yes
2026-08-12,16:08,Camera,no,1,1,28,2,habit,yes,yes
2026-08-12,22:38,Chrome,no,0,0,2,4,notification,yes,no
2026-08-13,10:32,Spotify,no,0,0,0,18,habit,no,yes
2026-08-13,10:19,Chrome,no,1,0,18,28,habit,no,no
2026-08-13,14:49,Facebook,no,0,0,28,32,procrastination,no,yes
2026-08-13,15:53,Facebook,no,0,1,32,10,notification,yes,no
2026-08-13,16:28,WhatsApp,yes,0,2,10,1,notification,yes,no
2026-08-13,16:54,Chrome,no,1,2,1,21,procrastination,no,yes
2026-08-13,17:42,Camera,no,0,3,21,33,boredom,no,yes
2026-08-13,17:49,Spotify,no,1,3,33,14,habit,no,no
2026-08-13,20:35,Spotify,yes,0,0,14,5,other,yes,no
2026-08-13,21:59,Spotify,no,0,1,5,9,boredom,no,no
2026-08-13,22:57,Messages,no,0,2,9,5,other,yes,no
2026-08-14,10:47,Facebook,no,0,0,0,9,notification,yes,no
2026-08-14,12:03,Messages,yes,0,1,9,11,notification,yes,no
2026-08-14,13:26,Settings,no,0,1,11,22,habit,no,no
2026-08-14,13:20,Chrome,yes,1,1,22,1,notification,yes,no
2026-08-14,17:58,Camera,no,0,0,1,4,specific purpose,yes,no
2026-08-14,18:58,Camera,yes,0,1,4,13,boredom,yes,yes
2026-08-14,19:36,Messages,no,0,2,13,2,boredom,yes,no
2026-08-14,20:31,WhatsApp,no,0,2,2,3,specific purpose,yes,yes
2026-08-14,22:10,Spotify,no,0,1,3,23,procrastination,no,yes
2026-08-15,09:42,WhatsApp,yes,0,0,0,5,notification,yes,no
2026-08-15,11:21,Chrome,yes,0,1,5,8,notification,yes,no
2026-08-15,16:42,Spotify,yes,0,0,8,14,notification,no,no
2026-08-15,17:23,Facebook,no,0,1,14,2,other,no,no
2026-08-15,19:47,Messages,no,0,1,2,3,habit,no,no
2026-08-15,20:13,YouTube,no,1,1,3,25,habit,no,yes
2026-08-15,20:58,Chrome,no,0,1,25,8,specific purpose,yes,no
2026-08-15,21:10,Settings,yes,1,3,8,4,notification,yes,no
2026-08-16,09:36,Settings,yes,0,0,0,9,notification,yes,yes
2026-08-16,10:13,Chrome,no,0,1,9,23,habit,no,yes
2026-08-16,15:03,YouTube,no,0,0,23,37,other,no,no
2026-08-16,16:49,Camera,no,0,1,37,6,boredom,yes,no
2026-08-16,21:58,Camera,no,0,0,6,3,notification,yes,no
2026-08-17,10:09,YouTube,yes,0,0,0,2,notification,yes,no
2026-08-17,12:04,Chrome,yes,0,1,2,6,notification,yes,no
2026-08-17,15:34,Chrome,yes,0,0,6,7,notification,yes,no
2026-08-17,15:46,Messages,no,1,0,7,10,habit,yes,no
2026-08-17,15:17,WhatsApp,yes,1,0,10,5,notification,yes,no
2026-08-17,16:22,Camera,no,0,3,5,14,procrastination,no,no
2026-08-17,16:48,Facebook,no,1,3,14,7,specific purpose,yes,no
2026-08-17,18:45,Settings,yes,0,2,7,2,specific purpose,yes,no
2026-08-17,19:24,Facebook,yes,0,1,2,8,notification,yes,no
2026-08-17,20:23,Facebook,yes,0,2,8,5,notification,yes,yes
2026-08-17,23:51,Facebook,no,0,0,5,5,habit,yes,no
2026-08-17,23:58,Facebook,yes,1,0,5,41,notification,no,no
2026-08-18,09:46,Messages,no,0,0,0,2,specific purpose,yes,no
2026-08-18,13:26,Facebook,yes,0,0,2,10,notification,yes,no
2026-08-18,14:09,Facebook,yes,0,1,10,14,notification,no,no
2026-08-18,15:43,Settings,yes,0,2,14,35,other,no,yes
2026-08-18,16:46,WhatsApp,no,0,2,35,12,specific purpose,yes,no
2026-08-18,16:41,Chrome,no,1,2,12,23,procrastination,no,yes
2026-08-18,17:08,Facebook,no,1,3,23,4,notification,yes,yes
2026-08-18,17:32,Chrome,no,1,3,4,9,procrastination,no,no
2026-08-18,19:00,Camera,no,0,2,9,10,notification,no,no
2026-08-18,21:18,Camera,yes,0,1,10,7,boredom,yes,no
2026-08-19,09:41,YouTube,no,0,0,0,26,habit,no,yes
2026-08-19,09:40,WhatsApp,yes,1,0,26,1,notification,no,yes
2026-08-19,12:33,Facebook,no,0,0,1,2,boredom,yes,no
2026-08-19,13:30,YouTube,yes,0,1,2,1,notification,yes,no
2026-08-19,13:54,Facebook,yes,1,1,1,16,notification,no,no
2026-08-19,14:19,Facebook,yes,1,3,16,3,notification,no,no
2026-08-19,16:44,Messages,no,0,1,3,38,notification,no,yes
2026-08-19,18:04,Camera,yes,0,1,38,4,habit,yes,no
2026-08-19,19:22,Camera,no,0,1,4,68,habit,no,no
2026-08-19,20:05,Spotify,no,0,2,68,29,procrastination,no,no
2026-08-19,22:40,Camera,yes,0,1,29,7,notification,yes,yes
2026-08-19,23:19,Spotify,no,0,1,7,7,notification,yes,no
